step,time,game_drift_rms,median_known_distance,p90_known_distance,minimum_coordinate,negative_coordinate_fraction
64,0.64,0.14658328890800476,0.164499431848526,0.25837311148643494,-0.04133160412311554,0.009548611007630825
65,0.65,0.14475861191749573,0.16464221477508545,0.2570796012878418,-0.04204723238945007,0.009548611007630825
66,0.66,0.14192281663417816,0.1640446037054062,0.25568312406539917,-0.04326268658041954,0.009548611007630825
67,0.67,0.14027544856071472,0.1634799987077713,0.25423428416252136,-0.04398774728178978,0.009548611007630825
68,0.68,0.13758674263954163,0.16351518034934998,0.25262606143951416,-0.04520876333117485,0.009548611007630825
69,0.6900000000000001,0.1349901705980301,0.16297297179698944,0.2510586678981781,-0.04641660302877426,0.009548611007630825
70,0.7000000000000001,0.13357309997081757,0.16283191740512848,0.24958287179470062,-0.04714857041835785,0.009548611007630825
71,0.71,0.1311095505952835,0.16277992725372314,0.2484564334154129,-0.04835768789052963,0.009548611007630825
72,0.72,0.12983933091163635,0.16276079416275024,0.2471754103899002,-0.04909461364150047,0.009548611007630825
73,0.73,0.127500519156456,0.16274897754192352,0.24574939906597137,-0.05030262842774391,0.009548611007630825
74,0.74,0.1263669729232788,0.1627311259508133,0.244416281580925,-0.05104263126850128,0.009548611007630825
75,0.75,0.12414544075727463,0.16219668090343475,0.2430565357208252,-0.052247125655412674,0.009548611007630825
76,0.76,0.12200514227151871,0.16170074045658112,0.24173127114772797,-0.05343511700630188,0.009548611007630825
77,0.77,0.12105316668748856,0.16113170981407166,0.24049371480941772,-0.05417411029338837,0.009548611007630825
78,0.78,0.11901800334453583,0.1603134125471115,0.23922890424728394,-0.05535540357232094,0.010416666977107525
79,0.79,0.11817710846662521,0.15952688455581665,0.23805013298988342,-0.056093331426382065,0.010416666977107525
80,0.8,0.11623913049697876,0.15873487293720245,0.23672589659690857,-0.0572659932076931,0.010416666977107525
81,0.81,0.1154988557100296,0.15841971337795258,0.23564472794532776,-0.058001428842544556,0.010416666977107525
82,0.8200000000000001,0.11365292221307755,0.15774884819984436,0.23466697335243225,-0.059163402765989304,0.010416666977107525
83,0.8300000000000001,0.11300143599510193,0.1570066213607788,0.23396778106689453,-0.05989496782422066,0.010416666977107525
84,0.84,0.11124157905578613,0.15634438395500183,0.23302510380744934,-0.061043545603752136,0.010416666977107525
85,0.85,0.11067505180835724,0.15627850592136383,0.23222602903842926,-0.06176888570189476,0.010416666977107525
86,0.86,0.10899494588375092,0.15550224483013153,0.23159345984458923,-0.06290246546268463,0.010416666977107525
87,0.87,0.10850358009338379,0.15496940910816193,0.23082059621810913,-0.06362012028694153,0.010416666977107525
88,0.88,0.10689930617809296,0.15501074492931366,0.22997614741325378,-0.06473635137081146,0.010416666977107525
89,0.89,0.10647802799940109,0.15504255890846252,0.229007750749588,-0.06544464081525803,0.010416666977107525
90,0.9,0.10609669238328934,0.15435558557510376,0.22799760103225708,-0.06614862382411957,0.010416666977107525
91,0.91,0.10457207262516022,0.1538468599319458,0.2268534153699875,-0.06724788248538971,0.01128472201526165
92,0.92,0.10423918068408966,0.15330086648464203,0.22596366703510284,-0.06794139742851257,0.01128472201526165
93,0.93,0.10278252512216568,0.153028666973114,0.22501246631145477,-0.06902027130126953,0.01215277798473835
94,0.9400000000000001,0.10249340534210205,0.15279673039913177,0.2242155820131302,-0.06970246136188507,0.01215277798473835
95,0.9500000000000001,0.10109847784042358,0.15207335352897644,0.22359445691108704,-0.07075970619916916,0.01215277798473835
96,0.96,0.10085494816303253,0.1514018326997757,0.22272248566150665,-0.07142935693264008,0.01215277798473835
97,0.97,0.09951821714639664,0.15069904923439026,0.22103987634181976,-0.07246369868516922,0.01215277798473835
98,0.98,0.09931445866823196,0.1500495970249176,0.22002741694450378,-0.07311984151601791,0.01215277798473835
99,0.99,0.0991322472691536,0.14949412643909454,0.21919646859169006,-0.07376908510923386,0.01215277798473835
100,1.0,0.09785448759794235,0.14922595024108887,0.21789595484733582,-0.07477733492851257,0.01215277798473835
