step,time,projection_residual,alpha_norm,projected_drift_rms,basis_seconds,solve_seconds,update_seconds
57,0.5700000000000001,0.3464142978191376,106.4235610961914,0.1570591777563095,0.006047708000551211,0.003105166999375797,3.212500087101944e-05
58,0.58,0.4464198052883148,77.88934326171875,0.1466306895017624,0.005684750000000349,0.003102000000581029,3.191599898855202e-05
59,0.59,0.3610081672668457,105.33531188964844,0.15054477751255035,0.0058077080011571525,0.003062041998418863,2.8875001589767635e-05
60,0.6,0.3667243421077728,104.69617462158203,0.147039994597435,0.006118625000453903,0.0034281660009582993,3.095899955951609e-05
61,0.61,0.471816748380661,75.84434509277344,0.13647346198558807,0.0053019169990875525,0.0033357910015183734,3.087499862886034e-05
62,0.62,0.3820760250091553,103.57470703125,0.14108851552009583,0.007026667000900488,0.0032424170003650943,3.4249998861923814e-05
63,0.63,0.3880354166030884,102.94649505615234,0.13785243034362793,0.005557833001148538,0.00319850000050792,3.62089995178394e-05
64,0.64,0.4970764219760895,73.85730743408203,0.12719053030014038,0.006097624998801621,0.003023791001396603,2.8458998713176697e-05
65,0.65,0.4039405286312103,101.83551025390625,0.1324228197336197,0.005502207999597886,0.003127624999251566,2.85420010186499e-05
66,0.66,0.5168527960777283,72.52837371826172,0.1214967891573906,0.005354332999559119,0.0030693749995407416,2.658400080690626e-05
67,0.67,0.42011088132858276,100.72639465332031,0.1272953301668167,0.005987374999676831,0.002999166999870795,2.9458000426529907e-05
68,0.68,0.42629772424697876,100.1327896118164,0.12445884197950363,0.0065324999995937105,0.0033014580003509764,2.8667000151472166e-05
69,0.6900000000000001,0.5413793325424194,70.6595458984375,0.1134977787733078,0.006151375000627013,0.0031045420000737067,3.241699960199185e-05
70,0.7000000000000001,0.4426405131816864,99.00455474853516,0.11977607756853104,0.005718083999454393,0.0031009579997771652,3.149999974993989e-05
71,0.71,0.5605297684669495,69.36284637451172,0.10857493430376053,0.01034987500133866,0.0037986659990565386,5.491699994308874e-05
72,0.72,0.45905962586402893,97.88973236083984,0.11535101383924484,0.007077208001646795,0.0030587089986511273,3.5958000808022916e-05
73,0.73,0.5793816447257996,68.0785140991211,0.10392022132873535,0.005616791000647936,0.003002124998602085,3.3292000807705335e-05
74,0.74,0.4754802882671356,96.78909301757812,0.11116953194141388,0.006449083999541472,0.003109166000285768,3.441700027906336e-05
75,0.75,0.4816870391368866,96.24552917480469,0.10879480838775635,0.005888042000151472,0.0031902499995339895,3.3082998925237916e-05
76,0.76,0.601727306842804,66.37407684326172,0.0974462479352951,0.007048958001178107,0.003327832999275415,3.279200063843746e-05
77,0.77,0.4979676902294159,95.18109893798828,0.10497710853815079,0.0058663749987317715,0.003456207999988692,4.3542000639718026e-05
78,0.78,0.619552731513977,65.14669036865234,0.09342397749423981,0.0053360410001914715,0.003030333999049617,3.1000001399661414e-05
79,0.79,0.5140809416770935,94.13215637207031,0.10136563330888748,0.005940875000305823,0.00332075000005716,3.754199860850349e-05
80,0.8,0.636875331401825,63.92710494995117,0.08961686491966248,0.0052612500003306195,0.003274000000601518,3.566699888324365e-05
81,0.81,0.5300159454345703,93.0804443359375,0.09794069081544876,0.005855833000168786,0.0030597080003644805,3.208399903087411e-05
82,0.8200000000000001,0.6536426544189453,62.71848678588867,0.08601347357034683,0.005251458000202547,0.0030425419990933733,3.124999966530595e-05
83,0.8300000000000001,0.5456394553184509,92.03972625732422,0.09469684958457947,0.0055756670008122455,0.0030554999993910315,2.6375000743428245e-05
84,0.84,0.669788122177124,61.5240592956543,0.08260248601436615,0.005331958000169834,0.0031918329987092875,3.3042000723071396e-05
85,0.85,0.560933530330658,91.01659393310547,0.09162387996912003,0.005793624999569147,0.0031514170004811604,3.295799979241565e-05
86,0.86,0.6853007078170776,60.34870147705078,0.07937700301408768,0.006021875000442378,0.0030921670004318003,3.0082999728620052e-05
87,0.87,0.5758515000343323,90.00615692138672,0.08870846778154373,0.00588712500029942,0.0030564579992642393,3.320799987704959e-05
88,0.88,0.7001572251319885,59.191715240478516,0.07632474601268768,0.005942416999459965,0.0034047080007439945,4.2084000597242266e-05
89,0.89,0.7130218744277954,58.22660827636719,0.07465682178735733,0.005249708001429099,0.002973874999952386,2.858299922081642e-05
90,0.9,0.5992221832275391,88.4542236328125,0.08493904024362564,0.005652625000948319,0.0031571249983244343,3.2625001040287316e-05
91,0.91,0.7267895936965942,57.09305191040039,0.07182598859071732,0.005454624999401858,0.0030748330009373603,2.741699972830247e-05
92,0.92,0.6130165457725525,87.4601821899414,0.0823555514216423,0.005430791999970097,0.003462374999799067,2.725000013015233e-05
93,0.93,0.7398067116737366,55.97223663330078,0.06915335357189178,0.005658083999151131,0.003108541000983678,3.2500000088475645e-05
94,0.9400000000000001,0.6263479590415955,86.46936798095703,0.07989761233329773,0.006188707999172038,0.003022542001417605,2.95409990940243e-05
95,0.9500000000000001,0.7520652413368225,54.8724250793457,0.06663236767053604,0.005588791000263882,0.0032127920003404142,3.604199991968926e-05
96,0.96,0.6392200589179993,85.49268341064453,0.07755936682224274,0.006065417001082096,0.002989458000229206,3.166699934809003e-05
97,0.97,0.7636367082595825,53.80040740966797,0.0642533153295517,0.005511167000804562,0.00333695799963607,3.325000034237746e-05
98,0.98,0.7747689485549927,52.71728515625,0.06279050558805466,0.006711124999128515,0.002981416000693571,2.8541999199660495e-05
99,0.99,0.6591237783432007,83.90501403808594,0.07455073297023773,0.005733957999837003,0.00320287499926053,3.345900040585548e-05
